datetime,Station_ID,PM25,国控编号,监测站点名称（标准名）,经度 (E),纬度 (N)
2023/1/1,1335A,140.95833333333334,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/2,1335A,115.29166666666669,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/3,1335A,100.54166666666669,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/4,1335A,82.21739130434783,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/5,1335A,155.83333333333334,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/6,1335A,187.58333333333331,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/7,1335A,186.4,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/8,1335A,73.30434782608695,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/9,1335A,69.95833333333333,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/10,1335A,242.08333333333331,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/11,1335A,162.95833333333334,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/12,1335A,41.875,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/13,1335A,52.29166666666666,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/14,1335A,19.782608695652176,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/15,1335A,14.625,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/16,1335A,31.854166666666668,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/17,1335A,47.375,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/18,1335A,59.083333333333336,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/19,1335A,59.583333333333336,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/20,1335A,84.5,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/21,1335A,141.45454545454547,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/22,1335A,150.16666666666666,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/23,1335A,121.41666666666669,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/24,1335A,71.0,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/25,1335A,32.125,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/26,1335A,47.29166666666666,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/27,1335A,59.52173913043478,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/28,1335A,51.66666666666666,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/29,1335A,62.91304347826087,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/30,1335A,53.458333333333336,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/1/31,1335A,38.208333333333336,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/1,1335A,118.95833333333331,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/2,1335A,81.3695652173913,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/3,1335A,49.15909090909091,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/4,1335A,78.97727272727273,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/5,1335A,112.3913043478261,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/6,1335A,121.0,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/7,1335A,103.16666666666669,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/8,1335A,81.91570881166666,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/9,1335A,71.14408867071428,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/10,1335A,43.29166666666666,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/11,1335A,23.695652173913043,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/12,1335A,11.416666666666666,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/13,1335A,16.5,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/14,1335A,48.73913043478261,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/15,1335A,55.17391304347826,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/16,1335A,50.0,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/17,1335A,72.91666666666667,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/18,1335A,70.79166666666667,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/19,1335A,80.6086956521739,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/20,1335A,81.26086956521739,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/21,1335A,57.9,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/22,1335A,61.08695652173913,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/23,1335A,63.145833333333336,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/24,1335A,44.0,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/25,1335A,48.875,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/26,1335A,83.54166666666667,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/27,1335A,52.130434782608695,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/2/28,1335A,49.583333333333336,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/1,1335A,100.41666666666669,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/2,1335A,117.6086956521739,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/3,1335A,119.95833333333331,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/4,1335A,77.75,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/5,1335A,52.25,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/6,1335A,41.04166666666666,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/7,1335A,61.083333333333336,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/8,1335A,79.20833333333333,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/9,1335A,54.16666666666666,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/10,1335A,41.5,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/11,1335A,45.66666666666666,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/12,1335A,22.58333333333333,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/13,1335A,28.666666666666668,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/14,1335A,36.125,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/15,1335A,44.375,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/16,1335A,49.708333333333336,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/17,1335A,21.125,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/18,1335A,24.14583333333333,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/19,1335A,6.291666666666667,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/20,1335A,17.416666666666668,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/21,1335A,13.0,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/22,1335A,20.545454545454547,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/23,1335A,26.666666666666668,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/24,1335A,13.541666666666666,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/25,1335A,26.375,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/26,1335A,29.83333333333333,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/27,1335A,45.79166666666666,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/28,1335A,52.833333333333336,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/29,1335A,40.869565217391305,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/30,1335A,42.458333333333336,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/3/31,1335A,29.517857142916668,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/4/1,1335A,34.31547619041667,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/4/2,1335A,29.916666666666668,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/4/3,1335A,20.89583333333333,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/4/4,1335A,7.375,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/4/5,1335A,11.875,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/4/6,1335A,14.5,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
2023/4/7,1335A,25.375,1335A,长沙经开区环保局（经开区站点）,113.1012,28.2295
